County Name,Most Recent Date,Total Count Confirmed,Total Count Deaths,COVID-19 Positive Patients,Suspected COVID-19 Positive Patients,ICU COVID-19 Positive Patients,ICU COVID-19 Suspected Patients
Kings,2020-04-01T00:00:00,3,0,2,6,1,2
Siskiyou,2020-04-01T00:00:00,3,0,0,5,0,2
Yolo,2020-04-01T00:00:00,22,1,3,3,1,1
Shasta,2020-04-01T00:00:00,5,1,1,4,0,1
Napa,2020-04-01T00:00:00,11,0,2,2,0,1
Colusa,2020-04-01T00:00:00,1,0,0,1,0,1
Tehama,2020-04-01T00:00:00,0,0,0,1,0,1
San Benito,2020-04-01T00:00:00,14,1,2,0,2,0
Madera,2020-04-01T00:00:00,17,1,1,3,1,0
Inyo,2020-04-01T00:00:00,8,0,7,89,0,0
Lassen,2020-04-01T00:00:00,0,0,0,7,0,0
Del Norte,2020-04-01T00:00:00,0,0,0,5,0,0
Amador,2020-04-01T00:00:00,1,0,0,3,0,0
Mendocino,2020-04-01T00:00:00,4,0,0,2,0,0
Lake,2020-04-01T00:00:00,0,0,0,2,0,0
Calaveras,2020-04-01T00:00:00,3,0,0,1,0,0
Mono,2020-04-01T00:00:00,12,1,0,0,0,0
Sutter,2020-04-01T00:00:00,9,1,0,0,0,0
Plumas,2020-04-01T00:00:00,1,0,0,0,0,0
Tuolumne,2020-04-01T00:00:00,1,0,0,0,0,0
Mariposa,2020-04-01T00:00:00,0,0,0,0,0,0
Trinity,2020-04-01T00:00:00,0,0,0,0,0,0
Unassigned,2020-04-01T00:00:00,50,1,,,,
Glenn,2020-04-01T00:00:00,2,0,,,,
Alpine,2020-04-01T00:00:00,1,0,,,,
Sierra,2020-04-01T00:00:00,0,0,,,,
Modoc,2020-04-01T00:00:00,,,0,1,0,0
Alameda,2020-04-02T00:00:00,345,10,57,76,29,17
Alpine,2020-04-02T00:00:00,1,0,,,,
Amador,2020-04-02T00:00:00,2,0,0,3,0,0
Butte,2020-04-02T00:00:00,7,0,4,26,2,2
Calaveras,2020-04-02T00:00:00,3,0,0,1,0,0
Colusa,2020-04-02T00:00:00,1,0,0,1,0,1
Contra Costa,2020-04-02T00:00:00,297,3,32,38,13,10
Del Norte,2020-04-02T00:00:00,0,0,0,3,0,0
El Dorado,2020-04-02T00:00:00,16,0,15,12,0,6
Fresno,2020-04-02T00:00:00,92,0,17,74,6,13
Glenn,2020-04-02T00:00:00,2,0,0,0,0,0
Humboldt,2020-04-02T00:00:00,23,0,1,8,0,2
Imperial,2020-04-02T00:00:00,24,0,4,16,3,5
Inyo,2020-04-02T00:00:00,8,0,8,102,0,1
Kern,2020-04-02T00:00:00,74,0,27,77,12,23
Kings,2020-04-02T00:00:00,3,0,2,6,1,1
Lake,2020-04-02T00:00:00,0,0,0,1,0,0
Lassen,2020-04-02T00:00:00,0,0,0,7,0,0
Los Angeles,2020-04-02T00:00:00,4040,79,818,1270,346,193
Madera,2020-04-02T00:00:00,25,1,1,7,1,3
Marin,2020-04-02T00:00:00,102,1,7,16,3,1
Mariposa,2020-04-02T00:00:00,0,0,0,1,0,0
Mendocino,2020-04-02T00:00:00,4,0,0,1,0,0
Merced,2020-04-02T00:00:00,9,0,4,5,0,1
Mono,2020-04-02T00:00:00,16,1,18,2,0,0
Monterey,2020-04-02T00:00:00,50,2,14,14,4,2
Napa,2020-04-02T00:00:00,13,0,1,4,1,1
Nevada,2020-04-02T00:00:00,17,0,38,58,2,1
Orange,2020-04-02T00:00:00,640,12,129,225,67,47
Placer,2020-04-02T00:00:00,72,2,32,15,9,0
Plumas,2020-04-02T00:00:00,1,0,0,0,0,0
Riverside,2020-04-02T00:00:00,438,13,136,181,45,49
Sacramento,2020-04-02T00:00:00,322,9,71,92,24,19
San Benito,2020-04-02T00:00:00,18,1,2,0,2,0
San Bernardino,2020-04-02T00:00:00,335,8,126,185,50,45
San Diego,2020-04-02T00:00:00,968,16,144,343,69,35
San Francisco,2020-04-02T00:00:00,473,6,75,60,32,11
San Joaquin,2020-04-02T00:00:00,148,9,42,42,20,7
San Luis Obispo,2020-04-02T00:00:00,79,0,5,5,4,4
San Mateo,2020-04-02T00:00:00,423,13,62,40,26,4
Santa Barbara,2020-04-02T00:00:00,125,1,26,44,18,10
Santa Clara,2020-04-02T00:00:00,908,38,163,101,69,19
Santa Cruz,2020-04-02T00:00:00,49,1,4,4,3,0
Shasta,2020-04-02T00:00:00,7,1,2,4,1,0
Sierra,2020-04-02T00:00:00,0,0,,,,
Siskiyou,2020-04-02T00:00:00,3,0,0,3,0,2
Solano,2020-04-02T00:00:00,65,0,15,8,7,1
Sonoma,2020-04-02T00:00:00,76,1,8,18,1,0
Stanislaus,2020-04-02T00:00:00,40,0,30,43,11,7
Sutter,2020-04-02T00:00:00,10,1,0,0,,
Tehama,2020-04-02T00:00:00,1,0,0,1,0,1
Trinity,2020-04-02T00:00:00,0,0,0,0,0,0
Tulare,2020-04-02T00:00:00,64,1,4,26,4,5
Tuolumne,2020-04-02T00:00:00,1,0,0,0,0,0
Unassigned,2020-04-02T00:00:00,49,1,,,,
Ventura,2020-04-02T00:00:00,178,5,27,111,7,24
Yolo,2020-04-02T00:00:00,29,1,3,2,2,3
Yuba,2020-04-02T00:00:00,5,0,2,25,2,6
Alameda,2020-04-03T00:00:00,395,11,64,74,32,13
Alpine,2020-04-03T00:00:00,1,0,,,,
Amador,2020-04-03T00:00:00,2,0,0,0,0,0
Butte,2020-04-03T00:00:00,8,0,3,19,2,6
Calaveras,2020-04-03T00:00:00,3,0,0,1,0,0
Colusa,2020-04-03T00:00:00,1,0,1,0,1,0
Contra Costa,2020-04-03T00:00:00,327,5,31,39,15,10
Del Norte,2020-04-03T00:00:00,1,0,0,2,0,0
El Dorado,2020-04-03T00:00:00,16,0,15,9,0,4
Fresno,2020-04-03T00:00:00,98,1,15,81,7,16
Glenn,2020-04-03T00:00:00,2,0,0,0,0,0
Humboldt,2020-04-03T00:00:00,34,0,1,7,0,0
Imperial,2020-04-03T00:00:00,35,0,9,7,7,0
Inyo,2020-04-03T00:00:00,10,0,8,102,1,2
Kern,2020-04-03T00:00:00,87,1,35,73,12,16
Kings,2020-04-03T00:00:00,3,0,0,3,1,0
Lake,2020-04-03T00:00:00,0,0,0,2,0,1
Lassen,2020-04-03T00:00:00,0,0,0,3,0,0
Los Angeles,2020-04-03T00:00:00,4566,91,962,1239,422,209
Madera,2020-04-03T00:00:00,28,2,0,5,0,1
Marin,2020-04-03T00:00:00,106,6,6,16,3,5
Mariposa,2020-04-03T00:00:00,0,0,0,2,0,0
Mendocino,2020-04-03T00:00:00,4,0,0,5,0,1
Merced,2020-04-03T00:00:00,9,0,4,5,1,1
Modoc,2020-04-03T00:00:00,0,0,0,0,0,0
Mono,2020-04-03T00:00:00,18,1,18,2,0,0
Monterey,2020-04-03T00:00:00,58,2,16,18,3,1
Napa,2020-04-03T00:00:00,13,1,1,9,0,1
Nevada,2020-04-03T00:00:00,19,1,2,4,2,1
Orange,2020-04-03T00:00:00,713,13,131,182,66,36
Placer,2020-04-03T00:00:00,76,2,21,23,10,1
Plumas,2020-04-03T00:00:00,2,0,0,0,0,0
Riverside,2020-04-03T00:00:00,540,14,105,182,44,59
Sacramento,2020-04-03T00:00:00,363,11,77,76,28,17
San Benito,2020-04-03T00:00:00,22,1,2,0,2,0
San Bernardino,2020-04-03T00:00:00,356,11,118,204,44,53
San Diego,2020-04-03T00:00:00,1114,17,171,308,84,28
San Francisco,2020-04-03T00:00:00,506,6,80,71,39,8
San Joaquin,2020-04-03T00:00:00,162,10,41,38,18,8
San Luis Obispo,2020-04-03T00:00:00,82,0,4,5,3,2
San Mateo,2020-04-03T00:00:00,474,13,65,39,26,4
Santa Barbara,2020-04-03T00:00:00,154,1,27,29,18,4
Santa Clara,2020-04-03T00:00:00,983,39,164,83,71,17
Santa Cruz,2020-04-03T00:00:00,52,1,4,8,3,0
Shasta,2020-04-03T00:00:00,10,1,2,9,1,3
Sierra,2020-04-03T00:00:00,0,0,,,,
Siskiyou,2020-04-03T00:00:00,3,0,0,3,0,1
Solano,2020-04-03T00:00:00,72,1,16,21,7,5
Sonoma,2020-04-03T00:00:00,84,1,6,24,2,3
Stanislaus,2020-04-03T00:00:00,48,0,28,45,12,8
Sutter,2020-04-03T00:00:00,12,1,0,0,,
Tehama,2020-04-03T00:00:00,1,0,0,0,0,0
Trinity,2020-04-03T00:00:00,0,0,0,0,0,0
Tulare,2020-04-03T00:00:00,73,3,6,15,5,2
Tuolumne,2020-04-03T00:00:00,1,0,0,0,0,0
Unassigned,2020-04-03T00:00:00,54,1,,,,
Ventura,2020-04-03T00:00:00,186,6,22,116,6,28
Yolo,2020-04-03T00:00:00,33,1,2,7,3,6
Yuba,2020-04-03T00:00:00,6,0,2,12,2,2
Alameda,2020-04-04T00:00:00,468,12,60,95,35,18
Alpine,2020-04-04T00:00:00,1,0,,,,
Amador,2020-04-04T00:00:00,2,0,0,0,0,0
Butte,2020-04-04T00:00:00,10,0,3,14,1,4
Calaveras,2020-04-04T00:00:00,3,0,0,1,0,0
Colusa,2020-04-04T00:00:00,1,0,1,0,1,0
Contra Costa,2020-04-04T00:00:00,382,5,30,47,12,7
Del Norte,2020-04-04T00:00:00,1,0,0,2,0,0
El Dorado,2020-04-04T00:00:00,19,0,15,9,0,3
Fresno,2020-04-04T00:00:00,102,1,14,93,7,20
Glenn,2020-04-04T00:00:00,2,0,0,0,0,0
Humboldt,2020-04-04T00:00:00,29,0,1,4,0,0
Imperial,2020-04-04T00:00:00,42,1,9,10,5,2
Inyo,2020-04-04T00:00:00,10,0,8,106,1,1
Kern,2020-04-04T00:00:00,103,2,33,54,14,11
Kings,2020-04-04T00:00:00,3,0,1,9,1,0
Lake,2020-04-04T00:00:00,0,0,0,4,0,1
Lassen,2020-04-04T00:00:00,0,0,0,0,0,0
Los Angeles,2020-04-04T00:00:00,5275,117,1007,1190,449,181
Madera,2020-04-04T00:00:00,27,2,0,4,0,0
Marin,2020-04-04T00:00:00,111,6,5,16,3,5
Mariposa,2020-04-04T00:00:00,0,0,0,2,0,0
Mendocino,2020-04-04T00:00:00,4,0,0,3,0,1
Merced,2020-04-04T00:00:00,11,0,5,14,1,1
Modoc,2020-04-04T00:00:00,0,0,0,0,0,0
Mono,2020-04-04T00:00:00,18,1,20,2,0,0
Monterey,2020-04-04T00:00:00,61,2,16,25,4,2
Napa,2020-04-04T00:00:00,15,2,1,8,0,1
Nevada,2020-04-04T00:00:00,19,1,2,6,2,2
Orange,2020-04-04T00:00:00,781,15,143,213,70,45
Placer,2020-04-04T00:00:00,87,2,23,14,10,1
Plumas,2020-04-04T00:00:00,2,0,0,0,0,0
Riverside,2020-04-04T00:00:00,652,15,126,186,39,56
Sacramento,2020-04-04T00:00:00,393,11,69,76,25,18
San Benito,2020-04-04T00:00:00,22,1,2,3,2,0
San Bernardino,2020-04-04T00:00:00,373,13,138,254,51,66
San Diego,2020-04-04T00:00:00,1211,18,177,218,86,19
San Francisco,2020-04-04T00:00:00,537,6,80,65,37,7
San Joaquin,2020-04-04T00:00:00,171,10,43,30,16,7
San Luis Obispo,2020-04-04T00:00:00,82,0,4,6,3,3
San Mateo,2020-04-04T00:00:00,520,17,66,19,25,6
Santa Barbara,2020-04-04T00:00:00,167,1,28,34,18,2
Santa Clara,2020-04-04T00:00:00,1045,39,159,79,72,19
Santa Cruz,2020-04-04T00:00:00,56,1,4,6,3,0
Shasta,2020-04-04T00:00:00,11,2,2,10,4,0
Sierra,2020-04-04T00:00:00,0,0,,,,
Siskiyou,2020-04-04T00:00:00,3,0,0,2,0,1
Solano,2020-04-04T00:00:00,79,1,16,19,7,2
Sonoma,2020-04-04T00:00:00,88,1,7,16,2,6
Stanislaus,2020-04-04T00:00:00,51,0,30,45,12,9
Sutter,2020-04-04T00:00:00,14,1,0,0,,
Tehama,2020-04-04T00:00:00,1,0,0,1,0,0
Trinity,2020-04-04T00:00:00,0,0,0,0,0,0
Tulare,2020-04-04T00:00:00,79,4,8,20,5,1
Tuolumne,2020-04-04T00:00:00,1,0,0,1,0,1
Unassigned,2020-04-04T00:00:00,52,1,,,,
Ventura,2020-04-04T00:00:00,194,6,21,127,7,25
Yolo,2020-04-04T00:00:00,40,2,4,5,3,3
Yuba,2020-04-04T00:00:00,7,0,2,16,2,2
Alameda,2020-04-05T00:00:00,475,12,72,87,39,13
Alpine,2020-04-05T00:00:00,1,0,,,,
Amador,2020-04-05T00:00:00,2,0,0,0,0,0
Butte,2020-04-05T00:00:00,10,0,2,16,1,6
Calaveras,2020-04-05T00:00:00,3,0,0,0,0,0
Colusa,2020-04-05T00:00:00,1,0,1,0,1,0
Contra Costa,2020-04-05T00:00:00,415,6,29,35,15,10
Del Norte,2020-04-05T00:00:00,1,0,0,1,0,0
El Dorado,2020-04-05T00:00:00,19,0,16,6,0,3
Fresno,2020-04-05T00:00:00,102,1,16,81,8,15
Glenn,2020-04-05T00:00:00,2,0,0,0,0,0
Humboldt,2020-04-05T00:00:00,29,0,2,3,0,0
Imperial,2020-04-05T00:00:00,42,1,9,9,8,1
Inyo,2020-04-05T00:00:00,10,0,9,106,1,0
Kern,2020-04-05T00:00:00,109,2,23,27,12,4
Kings,2020-04-05T00:00:00,4,0,3,1,2,0
Lake,2020-04-05T00:00:00,0,0,0,4,0,2
Lassen,2020-04-05T00:00:00,0,0,0,0,0,0
Los Angeles,2020-04-05T00:00:00,5892,130,1094,1082,473,166
Madera,2020-04-05T00:00:00,27,2,0,1,0,0
Marin,2020-04-05T00:00:00,113,6,5,15,3,5
Mariposa,2020-04-05T00:00:00,0,0,0,2,0,0
Mendocino,2020-04-05T00:00:00,4,0,0,3,0,2
Merced,2020-04-05T00:00:00,16,0,15,10,1,3
Modoc,2020-04-05T00:00:00,0,0,0,0,0,0
Mono,2020-04-05T00:00:00,18,1,20,2,0,0
Monterey,2020-04-05T00:00:00,61,2,16,15,4,0
Napa,2020-04-05T00:00:00,15,2,1,8,0,1
Nevada,2020-04-05T00:00:00,19,1,2,4,2,1
Orange,2020-04-05T00:00:00,820,15,144,221,70,46
Placer,2020-04-05T00:00:00,86,3,23,13,10,1
Plumas,2020-04-05T00:00:00,2,0,0,0,0,0
Riverside,2020-04-05T00:00:00,669,17,129,207,47,60
Sacramento,2020-04-05T00:00:00,393,11,64,78,23,26
San Benito,2020-04-05T00:00:00,22,1,3,0,2,0
San Bernardino,2020-04-05T00:00:00,375,13,146,240,59,54
San Diego,2020-04-05T00:00:00,1328,19,179,220,89,31
San Francisco,2020-04-05T00:00:00,559,6,79,68,37,11
San Joaquin,2020-04-05T00:00:00,179,10,46,24,17,4
San Luis Obispo,2020-04-05T00:00:00,83,1,2,11,2,9
San Mateo,2020-04-05T00:00:00,528,19,69,15,24,6
Santa Barbara,2020-04-05T00:00:00,171,1,31,26,18,2
Santa Clara,2020-04-05T00:00:00,1052,42,166,69,68,18
Santa Cruz,2020-04-05T00:00:00,59,1,5,12,4,4
Shasta,2020-04-05T00:00:00,11,2,8,11,4,0
Sierra,2020-04-05T00:00:00,0,0,,,,
Siskiyou,2020-04-05T00:00:00,3,0,0,2,0,2
Solano,2020-04-05T00:00:00,78,1,15,17,6,24
Sonoma,2020-04-05T00:00:00,88,1,6,21,2,6
Stanislaus,2020-04-05T00:00:00,51,0,30,25,14,5
Sutter,2020-04-05T00:00:00,14,1,0,0,0,0
Tehama,2020-04-05T00:00:00,1,0,0,1,0,0
Trinity,2020-04-05T00:00:00,0,0,0,0,0,0
Tulare,2020-04-05T00:00:00,81,4,4,20,8,2
Tuolumne,2020-04-05T00:00:00,1,0,0,0,0,0
Unassigned,2020-04-05T00:00:00,52,1,,,,
Ventura,2020-04-05T00:00:00,196,6,21,128,7,28
Yolo,2020-04-05T00:00:00,37,2,3,6,3,3
Yuba,2020-04-05T00:00:00,7,0,1,14,1,1
Alameda,2020-04-06T00:00:00,527,13,79,70,43,19
Alpine,2020-04-06T00:00:00,1,0,,,,
Amador,2020-04-06T00:00:00,2,0,0,0,0,0
Butte,2020-04-06T00:00:00,11,0,1,15,1,5
Calaveras,2020-04-06T00:00:00,4,0,0,0,0,0
Colusa,2020-04-06T00:00:00,1,0,0,0,0,0
Contra Costa,2020-04-06T00:00:00,447,7,30,28,15,11
Del Norte,2020-04-06T00:00:00,2,0,0,3,0,0
El Dorado,2020-04-06T00:00:00,23,0,16,1,0,0
Fresno,2020-04-06T00:00:00,122,1,18,81,11,20
Glenn,2020-04-06T00:00:00,2,0,0,0,0,0
Humboldt,2020-04-06T00:00:00,37,0,3,12,0,3
Imperial,2020-04-06T00:00:00,47,1,9,14,7,2
Inyo,2020-04-06T00:00:00,11,0,9,114,1,0
Kern,2020-04-06T00:00:00,117,2,24,36,12,5
Kings,2020-04-06T00:00:00,3,0,3,3,2,0
Lake,2020-04-06T00:00:00,1,0,0,8,0,2
Lassen,2020-04-06T00:00:00,0,0,0,0,0,0
Los Angeles,2020-04-06T00:00:00,6346,145,1166,1070,486,175
Madera,2020-04-06T00:00:00,29,2,0,2,0,1
Marin,2020-04-06T00:00:00,119,7,8,8,4,4
Mariposa,2020-04-06T00:00:00,0,0,0,3,0,0
Mendocino,2020-04-06T00:00:00,4,0,0,2,0,2
Merced,2020-04-06T00:00:00,25,1,4,2,0,2
Modoc,2020-04-06T00:00:00,0,0,0,0,0,0
Mono,2020-04-06T00:00:00,18,1,20,2,0,0
Monterey,2020-04-06T00:00:00,62,2,16,15,5,1
Napa,2020-04-06T00:00:00,18,2,0,7,0,0
Nevada,2020-04-06T00:00:00,19,1,1,5,1,2
Orange,2020-04-06T00:00:00,910,17,145,171,73,33
Placer,2020-04-06T00:00:00,90,3,20,12,10,1
Plumas,2020-04-06T00:00:00,2,0,0,0,0,0
Riverside,2020-04-06T00:00:00,854,17,129,193,46,65
Sacramento,2020-04-06T00:00:00,448,15,77,78,26,19
San Benito,2020-04-06T00:00:00,25,1,3,3,2,0
San Bernardino,2020-04-06T00:00:00,550,13,148,185,60,43
San Diego,2020-04-06T00:00:00,1406,19,187,224,83,25
San Francisco,2020-04-06T00:00:00,586,6,80,71,34,9
San Joaquin,2020-04-06T00:00:00,191,10,31,32,14,3
San Luis Obispo,2020-04-06T00:00:00,85,1,2,3,2,2
San Mateo,2020-04-06T00:00:00,569,20,68,20,25,5
Santa Barbara,2020-04-06T00:00:00,189,2,34,26,19,5
Santa Clara,2020-04-06T00:00:00,1128,43,181,49,79,10
Santa Cruz,2020-04-06T00:00:00,65,1,5,9,4,2
Shasta,2020-04-06T00:00:00,16,3,6,3,2,2
Sierra,2020-04-06T00:00:00,0,0,,,,
Siskiyou,2020-04-06T00:00:00,4,0,0,0,0,0
Solano,2020-04-06T00:00:00,95,1,15,21,6,6
Sonoma,2020-04-06T00:00:00,102,1,6,18,2,4
Stanislaus,2020-04-06T00:00:00,72,0,28,28,12,4
Sutter,2020-04-06T00:00:00,14,2,0,0,,
Tehama,2020-04-06T00:00:00,1,0,0,0,0,0
Trinity,2020-04-06T00:00:00,0,0,0,0,0,0
Tulare,2020-04-06T00:00:00,126,5,12,24,8,3
Tuolumne,2020-04-06T00:00:00,1,0,0,0,0,0
Unassigned,2020-04-06T00:00:00,53,2,,,,
Ventura,2020-04-06T00:00:00,234,6,22,106,9,20
Yolo,2020-04-06T00:00:00,43,1,4,0,3,4
Yuba,2020-04-06T00:00:00,8,0,1,19,1,3
Alameda,2020-04-07T00:00:00,560,14,76,84,43,25
Alpine,2020-04-07T00:00:00,1,0,,,,
Amador,2020-04-07T00:00:00,2,0,0,0,0,0
Butte,2020-04-07T00:00:00,11,0,1,14,1,5
Calaveras,2020-04-07T00:00:00,5,0,0,1,0,0
Colusa,2020-04-07T00:00:00,2,0,0,0,0,0
Contra Costa,2020-04-07T00:00:00,471,7,31,38,17,9
Del Norte,2020-04-07T00:00:00,2,0,0,3,0,1
El Dorado,2020-04-07T00:00:00,22,0,16,2,0,3
Fresno,2020-04-07T00:00:00,138,3,20,82,11,13
Glenn,2020-04-07T00:00:00,2,0,0,0,0,0
Humboldt,2020-04-07T00:00:00,40,0,2,7,0,0
Imperial,2020-04-07T00:00:00,53,2,9,14,7,2
Inyo,2020-04-07T00:00:00,11,0,9,121,1,0
Kern,2020-04-07T00:00:00,134,2,28,91,14,13
Kings,2020-04-07T00:00:00,5,0,3,4,2,0
Lake,2020-04-07T00:00:00,1,0,0,0,0,0
Lassen,2020-04-07T00:00:00,0,0,0,1,0,0
Los Angeles,2020-04-07T00:00:00,6885,170,1251,1350,517,162
Madera,2020-04-07T00:00:00,28,2,0,3,0,1
Marin,2020-04-07T00:00:00,122,7,6,5,4,4
Mariposa,2020-04-07T00:00:00,0,0,0,3,0,0
Mendocino,2020-04-07T00:00:00,4,0,0,2,0,0
Merced,2020-04-07T00:00:00,27,1,3,3,0,3
Modoc,2020-04-07T00:00:00,0,0,0,1,0,0
Mono,2020-04-07T00:00:00,18,1,20,2,0,0
Monterey,2020-04-07T00:00:00,63,2,18,25,5,4
Napa,2020-04-07T00:00:00,18,2,0,5,0,3
Nevada,2020-04-07T00:00:00,20,1,1,4,1,2
Orange,2020-04-07T00:00:00,971,19,143,144,71,29
Placer,2020-04-07T00:00:00,94,3,19,18,9,3
Plumas,2020-04-07T00:00:00,3,0,0,1,0,0
Riverside,2020-04-07T00:00:00,905,25,129,207,57,57
Sacramento,2020-04-07T00:00:00,513,18,74,91,28,18
San Benito,2020-04-07T00:00:00,26,2,3,3,2,0
San Bernardino,2020-04-07T00:00:00,554,18,146,178,54,49
San Diego,2020-04-07T00:00:00,1456,31,203,124,87,29
San Francisco,2020-04-07T00:00:00,636,6,88,116,36,9
San Joaquin,2020-04-07T00:00:00,198,12,31,33,14,4
San Luis Obispo,2020-04-07T00:00:00,87,1,2,5,2,4
San Mateo,2020-04-07T00:00:00,573,22,63,13,26,2
Santa Barbara,2020-04-07T00:00:00,209,2,41,8,23,1
Santa Clara,2020-04-07T00:00:00,1193,46,187,47,77,7
Santa Cruz,2020-04-07T00:00:00,67,1,4,4,4,3
Shasta,2020-04-07T00:00:00,16,3,5,8,2,3
Sierra,2020-04-07T00:00:00,0,0,,,,
Siskiyou,2020-04-07T00:00:00,4,0,0,1,0,1
Solano,2020-04-07T00:00:00,99,1,14,24,7,6
Sonoma,2020-04-07T00:00:00,102,1,6,28,2,6
Stanislaus,2020-04-07T00:00:00,83,0,28,40,13,9
Sutter,2020-04-07T00:00:00,16,2,0,0,,
Tehama,2020-04-07T00:00:00,1,0,0,1,0,0
Trinity,2020-04-07T00:00:00,0,0,0,0,0,0
Tulare,2020-04-07T00:00:00,144,5,8,23,5,6
Tuolumne,2020-04-07T00:00:00,1,0,0,0,0,0
Unassigned,2020-04-07T00:00:00,53,2,,,,
Ventura,2020-04-07T00:00:00,247,6,22,68,9,20
Yolo,2020-04-07T00:00:00,51,2,2,3,2,1
Yuba,2020-04-07T00:00:00,10,0,2,25,1,5
Alameda,2020-04-08T00:00:00,594,15,84,69,45,18
Alpine,2020-04-08T00:00:00,1,0,,,,
Amador,2020-04-08T00:00:00,2,0,0,0,0,0
Butte,2020-04-08T00:00:00,11,0,1,15,1,7
Calaveras,2020-04-08T00:00:00,5,0,0,2,0,0
Colusa,2020-04-08T00:00:00,3,0,0,0,0,0
Contra Costa,2020-04-08T00:00:00,481,7,35,50,18,13
Del Norte,2020-04-08T00:00:00,2,0,0,2,0,1
El Dorado,2020-04-08T00:00:00,25,0,16,3,0,1
Fresno,2020-04-08T00:00:00,151,3,22,63,10,8
Glenn,2020-04-08T00:00:00,2,0,0,0,0,0
Humboldt,2020-04-08T00:00:00,40,0,2,3,0,0
Imperial,2020-04-08T00:00:00,59,2,16,7,8,3
Inyo,2020-04-08T00:00:00,11,0,9,128,1,1
Kern,2020-04-08T00:00:00,198,2,31,57,16,3
Kings,2020-04-08T00:00:00,5,0,2,8,1,1
Lake,2020-04-08T00:00:00,1,0,0,0,0,1
Lassen,2020-04-08T00:00:00,0,0,0,1,0,0
Los Angeles,2020-04-08T00:00:00,7505,196,1331,1077,532,211
Madera,2020-04-08T00:00:00,28,2,0,6,0,1
Marin,2020-04-08T00:00:00,125,7,5,3,4,2
Mariposa,2020-04-08T00:00:00,0,0,0,0,0,0
Mendocino,2020-04-08T00:00:00,4,0,0,0,0,0
Merced,2020-04-08T00:00:00,35,1,1,1,0,2
Modoc,2020-04-08T00:00:00,0,0,0,0,0,0
Mono,2020-04-08T00:00:00,19,1,19,8,0,0
Monterey,2020-04-08T00:00:00,68,3,18,24,5,0
Napa,2020-04-08T00:00:00,21,2,0,7,0,1
Nevada,2020-04-08T00:00:00,21,1,2,7,2,2
Orange,2020-04-08T00:00:00,1034,19,153,181,49,34
Placer,2020-04-08T00:00:00,102,4,18,15,10,2
Plumas,2020-04-08T00:00:00,3,0,0,1,0,0
Riverside,2020-04-08T00:00:00,974,28,149,145,56,41
Sacramento,2020-04-08T00:00:00,565,21,76,81,28,12
San Benito,2020-04-08T00:00:00,31,2,2,0,1,0
San Bernardino,2020-04-08T00:00:00,635,22,132,301,51,53
San Diego,2020-04-08T00:00:00,1532,36,225,103,92,24
San Francisco,2020-04-08T00:00:00,687,7,90,116,36,17
San Joaquin,2020-04-08T00:00:00,211,12,32,19,11,8
San Luis Obispo,2020-04-08T00:00:00,90,1,2,13,2,11
San Mateo,2020-04-08T00:00:00,608,22,66,20,25,2
Santa Barbara,2020-04-08T00:00:00,221,2,42,18,19,1
Santa Clara,2020-04-08T00:00:00,1257,47,156,34,70,6
Santa Cruz,2020-04-08T00:00:00,69,1,4,9,3,4
